Series Id,Year,Period,Value
CUUR0000SA0L1E,1958,M13,2.4
CUUR0000SA0L1E,1959,M13,2.0
CUUR0000SA0L1E,1960,M13,1.3
CUUR0000SA0L1E,1961,M13,1.3
CUUR0000SA0L1E,1962,M13,1.3
CUUR0000SA0L1E,1963,M13,1.3
CUUR0000SA0L1E,1964,M13,1.6
CUUR0000SA0L1E,1965,M13,1.2
CUUR0000SA0L1E,1966,M13,2.4
CUUR0000SA0L1E,1967,M13,3.6
CUUR0000SA0L1E,1968,M13,4.6
CUUR0000SA0L1E,1969,M13,5.8
CUUR0000SA0L1E,1970,M13,6.3
CUUR0000SA0L1E,1971,M13,4.7
CUUR0000SA0L1E,1972,M13,3.0
CUUR0000SA0L1E,1973,M13,3.6
CUUR0000SA0L1E,1974,M13,8.3
CUUR0000SA0L1E,1975,M13,9.1
CUUR0000SA0L1E,1976,M13,6.5
CUUR0000SA0L1E,1977,M13,6.3
CUUR0000SA0L1E,1978,M13,7.4
CUUR0000SA0L1E,1979,M13,9.8
CUUR0000SA0L1E,1980,M13,12.4
CUUR0000SA0L1E,1981,M13,10.4
CUUR0000SA0L1E,1982,M13,7.4
CUUR0000SA0L1E,1983,M13,4.0
CUUR0000SA0L1E,1984,M13,5.0
CUUR0000SA0L1E,1985,M13,4.3
CUUR0000SA0L1E,1986,M13,4.0
CUUR0000SA0L1E,1987,M13,4.1
CUUR0000SA0L1E,1988,M13,4.4
CUUR0000SA0L1E,1989,M13,4.5
CUUR0000SA0L1E,1990,M13,5.0
CUUR0000SA0L1E,1991,M13,4.9
CUUR0000SA0L1E,1992,M13,3.7
CUUR0000SA0L1E,1993,M13,3.3
CUUR0000SA0L1E,1994,M13,2.8
CUUR0000SA0L1E,1995,M13,3.0
CUUR0000SA0L1E,1996,M13,2.7
CUUR0000SA0L1E,1997,M13,2.4
CUUR0000SA0L1E,1998,M13,2.3
CUUR0000SA0L1E,1999,M13,2.1
CUUR0000SA0L1E,2000,M13,2.4
CUUR0000SA0L1E,2001,M13,2.6
CUUR0000SA0L1E,2002,M13,2.4
CUUR0000SA0L1E,2003,M13,1.4
CUUR0000SA0L1E,2004,M13,1.8
CUUR0000SA0L1E,2005,M13,2.2
CUUR0000SA0L1E,2006,M13,2.5
CUUR0000SA0L1E,2007,M13,2.3
CUUR0000SA0L1E,2008,M13,2.3
CUUR0000SA0L1E,2009,M13,1.7
CUUR0000SA0L1E,2010,M13,1.0
CUUR0000SA0L1E,2011,M13,1.7
CUUR0000SA0L1E,2012,M13,2.1
CUUR0000SA0L1E,2013,M13,1.8
CUUR0000SA0L1E,2014,M13,1.7
CUUR0000SA0L1E,2015,M13,1.8
CUUR0000SA0L1E,2016,M13,2.2
CUUR0000SA0L1E,2017,M13,1.8
CUUR0000SA0L1E,2018,M13,2.1
CUUR0000SA0L1E,2019,M13,2.2
CUUR0000SA0L1E,2020,M13,1.7
CUUR0000SA0L1E,2021,M13,3.6
CUUR0000SA0L1E,2022,M13,6.2
CUUR0000SA0L1E,2023,M13,4.8
CUUR0000SA0L1E,2024,M13,3.4
